Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-05_2023-06-10,TSLA,-22.136,-23.709,39.251,-0.554,-0.455,-39.599
Average,TSLA,-22.136,-23.709,39.251,-0.554,-0.455,-39.599
2022-10-05_2023-06-10,NFLX,10.739,11.664,17.461,0.522,0.477,-12.231
Average,NFLX,10.739,11.664,17.461,0.522,0.477,-12.231
2022-10-05_2023-06-10,AMZN,11.007,11.956,19.752,0.494,0.435,-15.842
Average,AMZN,11.007,11.956,19.752,0.494,0.435,-15.842
2022-10-05_2023-06-10,MSFT,12.979,14.109,12.742,0.827,0.475,-7.709
Average,MSFT,12.979,14.109,12.742,0.827,0.475,-7.709
2022-10-05_2023-06-10,COIN,25.169,27.481,32.868,0.777,0.571,-22.906
Average,COIN,25.169,27.481,32.868,0.777,0.571,-22.906
2022-10-05_2023-06-10,NIO,24.684,26.948,41.811,0.681,0.655,-21.229
Average,NIO,24.684,26.948,41.811,0.681,0.655,-21.229
2022-10-05_2023-06-10,GOOG,2.616,2.832,17.964,0.067,0.065,-13.522
Average,GOOG,2.616,2.832,17.964,0.067,0.065,-13.522
2022-10-05_2023-06-10,AAPL,4.522,4.900,7.817,0.241,0.088,-5.159
Average,AAPL,4.522,4.900,7.817,0.241,0.088,-5.159
Average,All,8.697,9.523,23.708,0.382,0.289,-17.275
